扯	che3	手 shŏu; 止 zhĭ
释	shi4	采 căi cài; 睪 gāo
嗜	shi4	口 kŏu; 耆 qí
誓	shi4	折 zhé shé zhē; 言 yán
收	shou1	丩 jiū; 攵 pō
手	shou3	手 shŏu
守	shou3	宀 mián; 寸 cùn
首	shou3	八 bā bá; 自 zì
寿	shou4	丰 fēng; 寸 cùn
受	shou4	爪 zhuă zhăo; 冖 mì; 又 yòu
兽	shou4	兽 shòu
售	shou4	隹 zhuī cuī; 口 kŏu
授	shou4	手 shŏu; 受 shòu
瘦	shou4	疒 chuáng; 叟 sŏu
书	shu1	又 yòu
殳	shu1	几 jĭ jī; 又 yòu
抒	shu1	手 shŏu; 予 yŭ yú
叔	shu1 shu2	上 shàng shăng; 小 xiăo; 又 yòu
枢	shu1	木 mù; 区 qū ōu
殊	shu1	歹 dăi; 朱 zhū
梳	shu1	木 mù; 旈 liú
淑	shu1 shu2	水 shuĭ; 叔 shū shú
疏	shu1 shu4	足 zú jù; 旈 liú
舒	shu1	舍 shè shĕ; 予 yŭ yú
输	shu1	车 chē jū; 俞 yú shù
蔬	shu1	艹 căo; 疏 shū shù
秫	shu2	禾 hé; 术 shù zhú
赎	shu2	贝 bèi; 卖 mài
熟	shu2 shou2	烹 pēng; 丸 wán
暑	shu3	日 rì; 者 zhĕ
黍	shu3	禾 hé; 入 rù; 水 shuĭ
署	shu3 shu4	网 wăng; 者 zhĕ
鼠	shu3	鼠 shŭ
蜀	shu3	网 wăng; 勹 bāo; 虫 chóng huĭ
薯	shu3	艹 căo; 署 shŭ shù
曙	shu3 shu4	日 rì; 署 shŭ shù
术	shu4 zhu2	木 mù
戍	shu4	戈 gē; 人 rén
束	shu4	木 mù; 口 kŏu
述	shu4	辶 chuò; 术 shù zhú
树	shu4	木 mù; 对 duì
竖	shu4	臤 qiān; 立 lì
恕	shu4	如 rú; 心 xīn
庶	shu4	广 guăng ān; 廿 niàn; 火 huŏ
数	shu4 shu3 shuo4	娄 lóu; 攵 pō
墅	shu4	野 yĕ; 土 tŭ
漱	shu4	水 shuĭ; 欶 shuò
刷	shua1 shua4	尸 shī; 巾 jīn; 刀 dāo
耍	shua3	而 ér; 女 nǚ rŭ
衰	shuai1 cui1	衣 yī yì yĭ; 冄 răn
摔	shuai1	手 shŏu; 率 lǜ shuài shuò
甩	shuai3	用 yòng; 乚 yĭn
帅	shuai4	巾 jīn
蟀	shuai4 shuo4	虫 chóng huĭ; 率 lǜ shuài shuò
拴	shuan1	手 shŏu; 全 quán
栓	shuan1	木 mù; 全 quán
涮	shuan4	水 shuĭ; 刷 shuā shuà
双	shuang1	又 yòu
霜	shuang1	雨 yŭ yù; 相 xiāng xiàng
爽	shuang3	大 dà dài; 乂 yì ài
谁	shei2 shui2	言 yán; 隹 zhuī cuī
水	shui3	水 shuĭ
税	shui4	禾 hé; 兑 duì
睡	shui4	目 mù; 垂 chuí
吮	shun3	口 kŏu; 允 yŭn
顺	shun4	川 chuān; 页 yè
舜	shun4	爪 zhuă zhăo; 冖 mì; 夅 xiáng
瞬	shun4	目 mù; 舜 shùn
说	shuo1 shui4 yue4	言 yán; 兑 duì
烁	shuo4	火 huŏ; 乐 lè yuè
朔	shuo4	屰 nì; 月 yuè
欶	shuo4	束 shù; 欠 qiàn qian
硕	shuo4	石 shí dàn; 页 yè
嗽	sou4	口 kŏu; 欶 shuò
厶	si1	厶 sī
丝	si1	糸 mì; 一 yī
司	si1	人 rén; 一 yī; 口 kŏu
私	si1	禾 hé; 厶 sī
思	si1 sai1	田 tián; 心 xīn
斯	si1	其 qí jī; 斤 jīn jin
嘶	si1	口 kŏu; 斯 sī
撕	si1	手 shŏu; 斯 sī
死	si3	歹 dăi; 匕 bĭ
巳	si4	巳 sì
四	si4	四 sì
寺	si4	土 tŭ; 寸 cùn
伺	si4 ci4	人 rén; 司 sī
似	si4 shi4	人 rén; 以 yĭ
饲	si4	食 shí sì yì; 司 sī
肆	si4	镸 cháng zhăng; 聿 yù
松	song1	木 mù; 公 gōng
耸	song3	从 cóng cōng; 耳 ĕr
讼	song4	言 yán; 公 gōng
宋	song4	宀 mián; 木 mù
诵	song4	言 yán; 甬 yŏng
送	song4	辶 chuò; 关 guān
颂	song4	公 gōng; 页 yè
搜	sou1	手 shŏu; 叟 sŏu
艘	sou1 sao1	舟 zhōu; 叟 sŏu
叟	sou3	臼 jiù; 又 yòu
苏	su1	艹 căo; 办 bàn
酥	su1	酉 yŏu; 禾 hé
俗	su2	人 rén; 谷 gŭ yù
诉	su4	言 yán; 斥 chì
肃	su4	聿 yù; 八 bā bá
素	su4	生 shēng; 糸 mì
速	su4	辶 chuò; 束 shù
宿	su4 xiu3 xiu4	宀 mián; 人 rén; 百 băi bó
粟	su4	西 xī; 米 mĭ
塑	su4	朔 shuò; 土 tŭ
溯	su4	水 shuĭ; 朔 shuò
酸	suan1	酉 yŏu; 夋 qūn
蒜	suan4	艹 căo; 示 shì
算	suan4	竹 zhú; 目 mù; 廾 gŏng
虽	sui1	口 kŏu; 虫 chóng huĭ
随	sui2	辶 chuò; 阜 fù; 有 yŏu yòu
髓	sui3	骨 gú gŭ gū; 辶 chuò; 左 zuŏ; 月 yuè
岁	sui4	山 shān; 夕 xī xì
祟	sui4	出 chū; 示 shì
遂	sui4 sui2	辶 chuò; 八 bā bá; 豕 shĭ
碎	sui4	石 shí dàn; 卒 zú cù
隧	sui4	阜 fù; 遂 suì suí
穗	sui4	禾 hé; 惠 huì
孙	sun1	子 zi zĭ zí; 小 xiăo
损	sun3	手 shŏu; 员 yuán yún yùn
笋	sun3	竹 zhú; 尹 yĭn
唆	suo1	口 kŏu; 夋 qūn
梭	suo1	木 mù; 夋 qūn
嗦	suo1	口 kŏu; 索 suŏ
缩	suo1 su4	糸 mì; 宿 sù xiŭ xiù
所	suo3	户 hù; 斤 jīn jin
索	suo3	十 shí; 冖 mì; 糸 mì
琐	suo3	王 wáng wàng; 小 xiăo; 贝 bèi
锁	suo3	金 jīn; 小 xiăo; 贝 bèi
他	ta1	人 rén; 也 yĕ
它	ta1	宀 mián; 匕 bĭ
塌	ta1	土 tŭ; 日 rì; 羽 yŭ
塔	ta3 da5	土 tŭ; 荅 dá
踏	ta4 ta1	足 zú jù; 水 shuĭ; 日 rì
蹋	ta4	足 zú jù; 日 rì; 羽 yŭ
胎	tai1	月 yuè; 台 tái tāi
台	tai2 tai1	厶 sī; 口 kŏu
抬	tai2	手 shŏu; 台 tái tāi
苔	tai2 tai1	艹 căo; 台 tái tāi
太	tai4	大 dà dài
汰	tai4	水 shuĭ; 太 tài
态	tai4	太 tài; 心 xīn
泰	tai4	丰 fēng; 水 shuĭ
贪	tan1	今 jīn; 贝 bèi
摊	tan1	手 shŏu; 难 nán nàn
滩	tan1	水 shuĭ; 难 nán nàn
瘫	tan1	疒 chuáng; 难 nán nàn
坛	tan2	土 tŭ; 云 yún
昙	tan2	日 rì; 云 yún
谈	tan2	言 yán; 炎 yán
覃	tan2 qin2	西 xī; 早 zăo
痰	tan2	疒 chuáng; 炎 yán
谭	tan2	言 yán; 覃 tán qín
潭	tan2	水 shuĭ; 覃 tán qín
檀	tan2	木 mù; 亶 dăn dàn
坦	tan3	土 tŭ; 旦 dàn
袒	tan3	衣 yī yì yĭ; 旦 dàn
毯	tan3	毛 máo; 炎 yán
叹	tan4	口 kŏu; 又 yòu
炭	tan4	山 shān; 灰 huī
探	tan4 tan1	手 shŏu; 罙 mí
碳	tan4	石 shí dàn; 炭 tàn
汤	tang1 shang1	水 shuĭ; 昜 yáng
唐	tang2	庚 gēng; 口 kŏu
堂	tang2	尚 shàng; 土 tŭ
棠	tang2	尚 shàng; 木 mù
塘	tang2	土 tŭ; 唐 táng
搪	tang2	手 shŏu; 唐 táng
膛	tang2	月 yuè; 堂 táng
糖	tang2	米 mĭ; 唐 táng
倘	tang3 chang2	人 rén; 尚 shàng
淌	tang3	水 shuĭ; 尚 shàng
躺	tang3	身 shēn juān; 尚 shàng
烫	tang4	汤 tāng shāng; 火 huŏ
趟	tang4 tang1	走 zŏu; 尚 shàng
涛	tao1	水 shuĭ; 寿 shòu
掏	tao1	手 shŏu; 匋 táo
滔	tao1	水 shuĭ; 舀 yăo
匋	tao2	勹 bāo; 缶 fŏu
逃	tao2	辶 chuò; 兆 zhào
桃	tao2	木 mù; 兆 zhào
陶	tao2 yao2	阜 fù; 匋 táo
淘	tao2	水 shuĭ; 匋 táo
萄	tao2	艹 căo; 匋 táo
讨	tao3	言 yán; 寸 cùn
套	tao4	大 dà dài; 镸 cháng zhăng
特	te4	牛 niú; 寺 sì
疼	teng2	疒 chuáng; 冬 dōng
腾	teng2	月 yuè; 半 bàn; 马 mă
誊	teng2	半 bàn; 言 yán
滕	teng2	月 yuè; 半 bàn; 水 shuĭ
藤	teng2	艹 căo; 滕 téng
剔	ti1	易 yì; 刀 dāo
梯	ti1	木 mù; 弟 dì
踢	ti1	足 zú jù; 易 yì
啼	ti2	口 kŏu; 帝 dì
提	ti2 di1 shi2	手 shŏu; 是 shì
题	ti2	是 shì; 页 yè
蹄	ti2	足 zú jù; 帝 dì
体	ti3 ben4 ti1	人 rén; 本 bĕn
屉	ti4	尸 shī; 世 shì
剃	ti4	弟 dì; 刀 dāo
涕	ti4	水 shuĭ; 弟 dì
惕	ti4	心 xīn; 易 yì
替	ti4	夫 fū fú; 日 rì
天	tian1	大 dà dài; 一 yī
添	tian1	水 shuĭ; 忝 tiăn
田	tian2	田 tián
恬	tian2	心 xīn; 舌 shé
甜	tian2	舌 shé; 甘 gān
填	tian2	土 tŭ; 真 zhēn
忝	tian3	天 tiān; 心 xīn
舔	tian3	舌 shé; 忝 tiăn
挑	tiao3 tiao1	手 shŏu; 兆 zhào
条	tiao2	夂 zhĭ; 木 mù
笤	tiao2	竹 zhú; 召 zhào shào zhāo
跳	tiao4	足 zú jù; 兆 zhào
贴	tie1	贝 bèi; 占 zhàn zhān
铁	tie3	金 jīn; 失 shī
帖	tie1 tie3 tie4	巾 jīn; 占 zhàn zhān
厅	ting1	厂 chăng hăn ān; 丁 dīng zhēng
听	ting1 yin3	口 kŏu; 斤 jīn jin
廷	ting2	廴 yĭn; 壬 rén
亭	ting2	京 jīng; 丁 dīng zhēng
庭	ting2	广 guăng ān; 廷 tíng
停	ting2	人 rén; 亭 tíng
蜓	ting2	虫 chóng huĭ; 廷 tíng
挺	ting3	手 shŏu; 廷 tíng
艇	ting3	舟 zhōu; 廷 tíng
通	tong1 tong4	辶 chuò; 甬 yŏng
同	tong2 tong4	冃 mào; 口 kŏu
彤	tong2	丹 dān; 彡 shān
桐	tong2	木 mù; 同 tóng tòng
铜	tong2	金 jīn; 同 tóng tòng
童	tong2	立 lì; 里 lĭ li
瞳	tong2	目 mù; 童 tóng
统	tong3	糸 mì; 充 chōng
捅	tong3	手 shŏu; 甬 yŏng
桶	tong3	木 mù; 甬 yŏng
筒	tong3	竹 zhú; 同 tóng tòng
痛	tong4	疒 chuáng; 甬 yŏng
偷	tou1	人 rén; 俞 yú shù
头	tou2	大 dà dài
投	tou2	手 shŏu; 殳 shū
透	tou4	辶 chuò; 秀 xiù
凸	tu1 tu2 gu3	凸 tū tú gŭ
秃	tu1	禾 hé; 几 jĭ jī
突	tu1 tu2	穴 xué xuè; 犬 quăn quán
图	tu2	囗 wéi; 冬 dōng
徒	tu2	彳 chì; 走 zŏu
涂	tu2	水 shuĭ; 余 yú tú
途	tu2	辶 chuò; 余 yú tú
屠	tu2	尸 shī; 者 zhĕ
土	tu3	土 tŭ
吐	tu3 tu4	口 kŏu; 土 tŭ
兔	tu4	兔 tù
团	tuan2	囗 wéi; 才 cái
推	tui1	手 shŏu; 隹 zhuī cuī
颓	tui2	秃 tū; 页 yè
腿	tui3	月 yuè; 退 tuì
退	tui4	辶 chuò; 艮 gèn gĕn
蜕	tui4	虫 chóng huĭ; 兑 duì
褪	tun4 tui4	衣 yī yì yĭ; 退 tuì
吞	tun1	天 tiān; 口 kŏu
屯	tun2 zhun1	屮 chè; 一 yī
臀	tun2	殿 diàn; 月 yuè
乇	tuo1	乇 tuō
托	tuo1	手 shŏu; 乇 tuō
拖	tuo1	手 shŏu; 人 rén; 也 yĕ
脱	tuo1	月 yuè; 兑 duì
驮	tuo2 duo4	马 mă; 大 dà dài
驼	tuo2	马 mă; 它 tā
鸵	tuo2	鸟 niăo diăo; 它 tā
妥	tuo3	爪 zhuă zhăo; 女 nǚ rŭ
椭	tuo3	木 mù; 阜 fù; 有 yŏu yòu
拓	tuo4 ta4	手 shŏu; 石 shí dàn
唾	tuo4	口 kŏu; 垂 chuí
娃	wa2	女 nǚ rŭ; 圭 guī
挖	wa1	手 shŏu; 穴 xué xuè; 乙 yĭ
洼	wa1	水 shuĭ; 圭 guī
蛙	wa1	虫 chóng huĭ; 圭 guī
瓦	wa3 wa4	瓦 wă wà
袜	wa4	衣 yī yì yĭ; 末 mò
歪	wai1	不 bù bú fŏu; 正 zhèng zhēng
外	wai4	夕 xī xì; 卜 bŭ bo
弯	wan1	亦 yì; 弓 gōng
湾	wan1	水 shuĭ; 弯 wān
豌	wan1	豆 dòu; 宛 wăn yuān
丸	wan2	厂 chăng hăn ān; 人 rén
完	wan2	宀 mián; 元 yuán
玩	wan2 wan4	王 wáng wàng; 元 yuán
顽	wan2	元 yuán; 页 yè
宛	wan3 yuan1	宀 mián; 夗 yuàn
挽	wan3	手 shŏu; 免 miăn wèn
晚	wan3	日 rì; 免 miăn wèn
婉	wan3	女 nǚ rŭ; 宛 wăn yuān
惋	wan3	心 xīn; 宛 wăn yuān
碗	wan3	石 shí dàn; 宛 wăn yuān
万	wan4 mo4	万 wàn mò
腕	wan4	月 yuè; 宛 wăn yuān
汪	wang1	水 shuĭ; 王 wáng wàng
亡	wang2 wu2	人 rén; 乚 yĭn
王	wang2 wang4	王 wáng wàng
网	wang3	网 wăng
往	wang3 wang4	彳 chì; 主 zhŭ
枉	wang3	木 mù; 王 wáng wàng
妄	wang4	亡 wáng wú; 女 nǚ rŭ
忘	wang4 wang2	亡 wáng wú; 心 xīn
旺	wang4	日 rì; 王 wáng wàng
望	wang4	亡 wáng wú; 月 yuè; 王 wáng wàng
危	wei1 wei2	厃 hăn; 卩 jié
威	wei1	戊 wù; 一 yī; 女 nǚ rŭ
偎	wei1	人 rén; 畏 wèi
微	wei1 wei2	彳 chì; 山 shān; 兀 wù wū; 攵 pō
薇	wei1 wei2	艹 căo; 微 wēi wéi
巍	wei1 wei2	山 shān; 魏 wèi
囗	wei2	囗 wéi
为	wei2 wei4	力 lì
韦	wei2	韦 wéi
围	wei2	囗 wéi; 韦 wéi
违	wei2	辶 chuò; 韦 wéi
桅	wei2	木 mù; 危 wēi wéi
唯	wei2 wei3	口 kŏu; 隹 zhuī cuī
维	wei2	糸 mì; 隹 zhuī cuī
厃	han3	人 rén; 厂 chăng hăn ān
伟	wei3	人 rén; 韦 wéi
伪	wei3	人 rén; 为 wéi wèi
尾	wei3 yi3	尸 shī; 毛 máo
纬	wei3	糸 mì; 韦 wéi
苇	wei3	艹 căo; 韦 wéi
委	wei3 wei1	禾 hé; 女 nǚ rŭ
萎	wei3 wei1	艹 căo; 委 wĕi wēi
卫	wei4	卩 jié; 一 yī
未	wei4	木 mù
位	wei4	人 rén; 立 lì
味	wei4	口 kŏu; 未 wèi
畏	wei4	鬼 guĭ; 爪 zhuă zhăo
胃	wei4	田 tián; 月 yuè
尉	wei4 yu4	尸 shī; 示 shì; 寸 cùn
谓	wei4	言 yán; 胃 wèi
喂	wei4	口 kŏu; 畏 wèi
猬	wei4	犬 quăn quán; 胃 wèi
蔚	yu4 wei4	艹 căo; 尉 wèi yù
慰	wei4	尉 wèi yù; 心 xīn
魏	wei4	委 wĕi wēi; 鬼 guĭ
昷	wen1	日 rì; 皿 mĭn
温	wen1	水 shuĭ; 昷 wēn
瘟	wen1	疒 chuáng; 昷 wēn
文	wen2 wen4	文 wén wèn
纹	wen2 wen4	糸 mì; 文 wén wèn
闻	wen2	门 mén; 耳 ĕr
蚊	wen2	虫 chóng huĭ; 文 wén wèn
吻	wen3	口 kŏu; 勿 wù
紊	wen3 wen4	文 wén wèn; 糸 mì
稳	wen3	禾 hé; 急 jí
问	wen4	门 mén; 口 kŏu
翁	weng1	公 gōng; 羽 yŭ
嗡	weng1	口 kŏu; 翁 wēng
瓮	weng4	公 gōng; 瓦 wă wà
涡	wo1 guo1	水 shuĭ; 呙 guō
窝	wo1	穴 xué xuè; 呙 guō
蜗	wo1	虫 chóng huĭ; 呙 guō
我	wo3	禾 hé; 戈 gē
沃	wo4	水 shuĭ; 夭 yāo yăo
卧	wo4	臣 chén; 人 rén
臥	wo4	二 èr; 个 gè gĕ
握	wo4	手 shŏu; 屋 wū
乌	wu1 wu4	鸟 niăo diăo
污	wu1	水 shuĭ; 亏 kuī
呜	wu1	口 kŏu; 乌 wū wù
巫	wu1 wu2	工 gōng; 人 rén
屋	wu1	尸 shī; 至 zhì
诬	wu1	言 yán; 巫 wū wú
无	wu2 mo2	元 yuán
吴	wu2	口 kŏu; 天 tiān
吾	wu2	五 wŭ; 口 kŏu
芜	wu2	艹 căo; 无 wú mó
梧	wu2	木 mù; 吾 wú
蜈	wu2	虫 chóng huĭ; 吴 wú
五	wu3	乂 yì ài; 二 èr
午	wu3	午 wŭ
伍	wu3	人 rén; 五 wŭ
坞	wu4	土 tŭ; 乌 wū wù
武	wu3	止 zhĭ; 弋 yì
侮	wu3	人 rén; 每 mĕi
捂	wu3 wu2	手 shŏu; 吾 wú
鹉	wu3	武 wŭ; 鸟 niăo diăo
舞	wu3	人 rén; 廾 gŏng; 夅 xiáng
兀	wu4 wu1	一 yī; 儿 ér r2
勿	wu4	勿 wù
务	wu4	夂 zhĭ; 力 lì
戊	wu4	戈 gē
物	wu4	牛 niú; 勿 wù
误	wu4	言 yán; 吴 wú
悟	wu4	心 xīn; 吾 wú
晤	wu4	日 rì; 吾 wú
雾	wu4	雨 yŭ yù; 务 wù
夕	xi1 xi4	夕 xī xì
西	xi1	西 xī
吸	xi1	口 kŏu; 及 jí
希	xi1	乂 yì ài; 布 bù
昔	xi1 xi2	廿 niàn; 日 rì
析	xi1	木 mù; 斤 jīn jin
奚	xi1	爪 zhuă zhăo; 幺 yāo; 大 dà dài
息	xi1 xi2	自 zì; 心 xīn
牺	xi1	牛 niú; 西 xī
悉	xi1	采 căi cài; 心 xīn
惜	xi1 xi2	心 xīn; 昔 xī xí
晰	xi1	日 rì; 析 xī
犀	xi1	尸 shī; 水 shuĭ; 牛 niú
稀	xi1	禾 hé; 希 xī
溪	xi1 qi1	水 shuĭ; 奚 xī
锡	xi1	金 jīn; 易 yì
熄	xi1 xi2	火 huŏ; 息 xī xí
熙	xi1	臣 chén; 巳 sì; 火 huŏ
嬉	xi1	女 nǚ rŭ; 喜 xĭ
膝	xi1	月 yuè; 桼 qī
蟋	xi1	虫 chóng huĭ; 悉 xī
习	xi2	羽 yŭ
席	xi2	广 guăng ān; 廿 niàn; 巾 jīn
袭	xi2	龙 lóng; 衣 yī yì yĭ
媳	xi2	女 nǚ rŭ; 息 xī xí
洗	xi3 xian3	水 shuĭ; 先 xiān
徙	xi3	彳 chì; 止 zhĭ; 足 zú jù
铣	xian3 xi3	金 jīn; 先 xiān
喜	xi3	壴 zhŭ; 口 kŏu
戏	xi4 hu1	又 yòu; 戈 gē
系	xi4 ji4	糸 mì
细	xi4	糸 mì; 田 tián
隙	xi4	阜 fù; 日 rì; 小 xiăo
虾	xia1 ha2	虫 chóng huĭ; 下 xià
瞎	xia1	目 mù; 害 hài
匣	xia2	匚 fāng xĭ; 甲 jiă
侠	xia2	人 rén; 夹 jiā jiá gā
峡	xia2	山 shān; 夹 jiā jiá gā
狭	xia2	犬 quăn quán; 夹 jiā jiá gā
暇	xia2 xia4	日 rì; 叚 jiă
辖	xia2	车 chē jū; 害 hài
霞	xia2	雨 yŭ yù; 叚 jiă
下	xia4	下 xià
吓	he4 xia4	口 kŏu; 下 xià
夏	xia4 jia3	目 mù; 夂 zhĭ
厦	sha4 xia4	厂 chăng hăn ān; 夏 xià jiă
仙	xian1	人 rén; 山 shān
先	xian1	牛 niú; 儿 ér r2
纤	xian1 qian4	糸 mì; 千 qiān
掀	xian1	手 shŏu; 欣 xīn
锨	xian1	金 jīn; 欣 xīn
鲜	xian1 xian3	鱼 yú; 羊 yáng
闲	xian2	门 mén; 木 mù
弦	xian2	弓 gōng; 玄 xuán
贤	xian2	臤 qiān; 贝 bèi
咸	xian2	戊 wù; 一 yī; 口 kŏu
涎	xian2	水 shuĭ; 延 yán
舷	xian2	舟 zhōu; 玄 xuán
衔	xian2	行 xíng háng hàng xìng héng; 金 jīn
嫌	xian2	女 nǚ rŭ; 兼 jiān
显	xian3	日 rì; 业 yè
险	xian3	阜 fù; 佥 qiān
县	xian4	且 qiĕ jū; 厶 sī
现	xian4	王 wáng wàng; 见 jiàn xiàn
线	xian4	糸 mì; 戋 jiān
臽	xian4	人 rén; 臼 jiù
限	xian4	阜 fù; 艮 gèn gĕn
宪	xian4	宀 mián; 先 xiān
陷	xian4	阜 fù; 臽 xiàn
馅	xian4	食 shí sì yì; 臽 xiàn
羡	xian4	羊 yáng; 次 cì
献	xian4	南 nán nā; 犬 quăn quán
腺	xian4	月 yuè; 泉 quán
乡	xiang1	幺 yāo
相	xiang1 xiang4	木 mù; 目 mù
香	xiang1	禾 hé; 日 rì
厢	xiang1	厂 chăng hăn ān; 相 xiāng xiàng
湘	xiang1	水 shuĭ; 相 xiāng xiàng
箱	xiang1	竹 zhú; 相 xiāng xiàng
襄	xiang1	衣 yī yì yĭ; 口 kŏu; 丰 fēng
镶	xiang1	金 jīn; 襄 xiāng
详	xiang2	言 yán; 羊 yáng
祥	xiang2	示 shì; 羊 yáng
翔	xiang2	羊 yáng; 羽 yŭ
享	xiang3	亨 hēng
响	xiang3	口 kŏu; 向 xiàng
想	xiang3	相 xiāng xiàng; 心 xīn
向	xiang4	冂 jiōng; 口 kŏu
巷	xiang4 hang4	共 gòng gōng gŏng; 巳 sì
项	xiang4	工 gōng; 页 yè
象	xiang4	象 xiàng
像	xiang4	人 rén; 象 xiàng
橡	xiang4	木 mù; 象 xiàng
削	xue1 xiao1 xue4	肖 xiào xiāo; 刀 dāo
宵	xiao1	宀 mián; 肖 xiào xiāo
消	xiao1	水 shuĭ; 肖 xiào xiāo
萧	xiao1	艹 căo; 肃 sù
硝	xiao1	石 shí dàn; 肖 xiào xiāo
销	xiao1	金 jīn; 肖 xiào xiāo
箫	xiao1	竹 zhú; 肃 sù
嚣	xiao1 ao2	口 kŏu; 页 yè
淆	xiao2 yao2	水 shuĭ; 肴 yáo
小	xiao3	小 xiăo
晓	xiao3	日 rì; 尧 yáo
孝	xiao4	耂 lǎo; 子 zi zĭ zí
肖	xiao4 xiao1	小 xiăo; 月 yuè
哮	xiao4 xiao1	口 kŏu; 孝 xiào
效	xiao4	交 jiāo; 攵 pō
校	xiao4 jiao4	木 mù; 交 jiāo
笑	xiao4	竹 zhú; 夭 yāo yăo
啸	xiao4	口 kŏu; 肃 sù
些	xie1 xie5	此 cĭ; 二 èr
楔	xie1 xie4	木 mù; 契 qì xiè qiè
歇	xie1	曷 hé; 欠 qiàn qian
蝎	xie1 he2	虫 chóng huĭ; 曷 hé
协	xie2	十 shí; 办 bàn
邪	xie2 ye2	牙 yá; 邑 yì
胁	xie2	月 yuè; 办 bàn
挟	xie2 jia1	手 shŏu; 夹 jiā jiá gā
斜	xie2 xia2	余 yú tú; 斗 dòu dŏu
谐	xie2	言 yán; 皆 jiē
携	xie2	手 shŏu; 隽 juàn jùn
鞋	xie2	革 gé jí jĭ; 圭 guī
写	xie3 xie4	冖 mì; 与 yŭ yù yú
泄	xie4	水 shuĭ; 世 shì
泻	xie4	水 shuĭ; 写 xiĕ xiè
卸	xie4	午 wŭ; 止 zhĭ; 卩 jié
屑	xie4	尸 shī; 肖 xiào xiāo
械	xie4	木 mù; 戒 jiè
谢	xie4	言 yán; 射 shè shí yè
懈	xie4	心 xīn; 解 jiĕ jiè xiè
蟹	xie4	解 jiĕ jiè xiè; 虫 chóng huĭ
心	xin1	心 xīn
芯	xin1 xin4	艹 căo; 心 xīn
辛	xin1	辛 xīn
欣	xin1	斤 jīn jin; 欠 qiàn qian
锌	xin1	金 jīn; 辛 xīn
新	xin1	亲 qīn qin qìng; 斤 jīn jin
薪	xin1	艹 căo; 新 xīn
囟	xin4	囟 xìn
信	xin4 shen1	人 rén; 言 yán
衅	xin4	血 xuè xiĕ; 半 bàn
兴	xing1 xing4	爪 zhuă zhăo; 廾 gŏng
星	xing1	日 rì; 生 shēng
猩	xing1	犬 quăn quán; 星 xīng
腥	xing1	月 yuè; 星 xīng
刑	xing2	开 kāi; 刀 dāo
行	xing2 hang2 hang4 xing4 heng2	彳 chì; 丁 dīng zhēng
邢	xing2	开 kāi; 邑 yì
形	xing2	开 kāi; 彡 shān
型	xing2	刑 xíng; 土 tŭ
醒	xing3	酉 yŏu; 星 xīng
杏	xing4	木 mù; 口 kŏu
姓	xing4	女 nǚ rŭ; 生 shēng
幸	xing4	辛 xīn; 十 shí
性	xing4	心 xīn; 生 shēng
凶	xiong1	乂 yì ài; 凵 qū kăn
兄	xiong1	口 kŏu; 儿 ér r2
匈	xiong1	勹 bāo; 凶 xiōng
汹	xiong1	水 shuĭ; 凶 xiōng
胸	xiong1	月 yuè; 匈 xiōng
雄	xiong2	厷 sī; 隹 zhuī cuī
熊	xiong2	能 néng; 火 huŏ
休	xiu1	人 rén; 木 mù
修	xiu1	攸 yōu; 彡 shān
羞	xiu1	羊 yáng; 丑 chŏu
朽	xiu3	木 mù; 丂 kăo
秀	xiu4	禾 hé; 乃 năi
绣	xiu4	糸 mì; 秀 xiù
袖	xiu4	衣 yī yì yĭ; 由 yóu
锈	xiu4	金 jīn; 秀 xiù
胥	xu1	足 zú jù; 月 yuè
须	xu1	彡 shān; 页 yè
虚	xu1	虍 hū; 业 yè
需	xu1	雨 yŭ yù; 而 ér
徐	xu2	彳 chì; 余 yú tú
许	xu3	言 yán; 午 wŭ
旭	xu4	九 jiŭ; 日 rì
序	xu4	广 guăng ān; 予 yŭ yú
叙	xu4	余 yú tú; 又 yòu
恤	xu4	心 xīn; 血 xuè xiĕ
畜	chu4 xu4	玄 xuán; 田 tián
绪	xu4	糸 mì; 者 zhĕ
续	xu4	糸 mì; 卖 mài
酗	xu4	酉 yŏu; 凶 xiōng
婿	xu4	女 nǚ rŭ; 胥 xū
絮	xu4	如 rú; 糸 mì
嗅	xiu4	口 kŏu; 臭 chòu xiù
蓄	xu4	艹 căo; 畜 chù xù
轩	xuan1	车 chē jū; 干 gān gàn
宣	xuan1	宀 mián; 亘 gèn
喧	xuan1	口 kŏu; 宣 xuān
玄	xuan2	入 rù; 幺 yāo
悬	xuan2	县 xiàn; 心 xīn
旋	xuan2 xuan4	於 wū yū yú; 足 zú jù
漩	xuan2	水 shuĭ; 旋 xuán xuàn
选	xuan3	辶 chuò; 先 xiān
癣	xuan3	疒 chuáng; 鲜 xiān xiăn
炫	xuan4	火 huŏ; 玄 xuán
靴	xue1	革 gé jí jĭ; 化 huà huā
薛	xue1	艹 căo; 垖 duī; 辛 xīn
穴	xue2 xue4	宀 mián; 八 bā bá
学	xue2	冖 mì; 子 zi zĭ zí
雪	xue3 xue4	雨 yŭ yù; 彐 jì
血	xue4 xie3	皿 mĭn
勋	xun1	员 yuán yún yùn; 力 lì
熏	xun1 xun4	重 zhòng chóng; 火 huŏ
寻	xun2 xin2	彐 jì; 寸 cùn
巡	xun2	辶 chuò; 川 chuān
旬	xun2	勹 bāo; 日 rì
